speed,power,final_volume,depo_rate_mean,depo_rate_std,final_max_stress
9.6,747.5,10.0,10.0,1.0,300.0
9.41,734.86,11.313131313131313,10.0,1.0,300.0
9.13,723.73,12.626262626262626,10.0,1.0,300.0
8.69,700.43,13.93939393939394,10.0,1.0,300.0
8.25,677.14,15.252525252525253,10.0,1.0,300.0
7.81,653.86,16.565656565656568,10.0,1.0,300.0
7.37,630.57,17.87878787878788,10.0,1.0,300.0
6.93,607.58,19.19191919191919,10.0,1.0,300.0
6.49,584.68,20.505050505050505,10.0,1.0,300.0
6.06,561.79,21.81818181818182,10.0,1.0,300.0
5.62,538.92,23.13131313131313,10.0,1.0,300.0
5.18,516.36,24.444444444444443,10.0,1.0,300.0
4.75,494.45,25.757575757575758,10.0,1.0,300.0
4.46,476.55,27.070707070707073,10.0,1.0,300.0
4.27,462.57,28.383838383838384,10.0,1.0,300.0
4.24,456.12,29.696969696969695,10.0,1.0,300.0
4.21,449.66,31.01010101010101,10.0,1.0,300.0
4.18,443.21,32.323232323232325,10.0,1.0,300.0
4.01,443.4,33.63636363636364,10.0,1.0,300.0
3.82,444.41,34.94949494949495,10.0,1.0,300.0
3.63,445.41,36.26262626262626,10.0,1.0,300.0
3.45,446.41,37.57575757575758,10.0,1.0,300.0
3.26,447.4,38.888888888888886,10.0,1.0,300.0
3.07,448.39,40.2020202020202,10.0,1.0,300.0
2.88,449.37,41.515151515151516,10.0,1.0,300.0
2.7,450.35,42.82828282828283,10.0,1.0,300.0
2.51,451.32,44.141414141414145,10.0,1.0,300.0
2.35,452.47,45.45454545454545,10.0,1.0,300.0
2.36,456.6,46.76767676767677,10.0,1.0,300.0
2.37,463.01,48.08080808080808,10.0,1.0,300.0
2.38,469.41,49.39393939393939,10.0,1.0,300.0
2.35,475.67,50.707070707070706,10.0,1.0,300.0
2.3,481.98,52.02020202020202,10.0,1.0,300.0
2.26,488.27,53.333333333333336,10.0,1.0,300.0
2.21,494.55,54.64646464646465,10.0,1.0,300.0
2.16,500.89,55.95959595959596,10.0,1.0,300.0
2.13,504.74,57.27272727272727,10.0,1.0,300.0
2.11,507.9,58.58585858585859,10.0,1.0,300.0
2.08,511.06,59.898989898989896,10.0,1.0,300.0
2.06,514.2,61.21212121212121,10.0,1.0,300.0
2.03,517.33,62.525252525252526,10.0,1.0,300.0
